Comment;clean_text;normalized_text;processed_text;tokens;aktor;isu;sentiment;pre_label;manual_label
selama mindset masy tdk berubah, masy menganggap pinj yg sumber dananya dr pemerintah adlh hibah jd tdk perlu dikembalikan toh nanti diputihkan. di perbankan dulu ada program pendanaan utk rakyat namanya kkp dgn skema pakai agunan, hasil akhirnya tetap aja gagal.;selama mindset masy tdk berubah masy menganggap pinj yg sumber dananya dr pemerintah adlh hibah jd tdk perlu dikembalikan toh nanti diputihkan di perbankan dulu ada program pendanaan utk rakyat namanya kkp dgn skema pakai agunan hasil akhirnya tetap aja gagal;selama mindset masy tidak berubah masy menganggap pinj yang sumber dananya dari pemerintah adlh hibah jadi tidak perlu dikembalikan toh nanti diputihkan di perbankan dulu ada program pendanaan untuk rakyat namanya kkp dengan skema pakai agunan hasil akhirnya tetap saja gagal;selama mindset masy tidak berubah masy menganggap pinj yang sumber dananya dari pemerintah adlh hibah jadi tidak perlu dikembalikan toh nanti diputihkan di perbankan dulu ada program pendanaan untuk rakyat namanya kkp dengan skema pakai agunan hasil akhirnya tetap saja gagal;['selama', 'mindset', 'masy', 'tidak', 'berubah', 'masy', 'menganggap', 'pinj', 'yang', 'sumber', 'dananya', 'dari', 'pemerintah', 'adlh', 'hibah', 'jadi', 'tidak', 'perlu', 'dikembalikan', 'toh', 'nanti', 'diputihkan', 'di', 'perbankan', 'dulu', 'ada', 'program', 'pendanaan', 'untuk', 'rakyat', 'namanya', 'kkp', 'dengan', 'skema', 'pakai', 'agunan', 'hasil', 'akhirnya', 'tetap', 'saja', 'gagal'];Tidak Terdeteksi;Kebijakan;Diskusi;Diskusi;Diskusi
Negara banyak koruptornya dibikinin beginian... ??;Negara banyak koruptornya dibikinin beginian;negara banyak koruptornya dibikinin beginian;negara banyak koruptornya dibikinin beginian;['negara', 'banyak', 'koruptornya', 'dibikinin', 'beginian'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Desa yg punya uang malah yg ngatur uangnya org2 penerintah...;Desa yg punya uang malah yg ngatur uangnya org2 penerintah;desa yang punya uang malah yang ngatur uangnya orang penerintah;desa yang punya uang malah yang ngatur uangnya orang penerintah;['desa', 'yang', 'punya', 'uang', 'malah', 'yang', 'ngatur', 'uangnya', 'orang', 'penerintah'];Tidak Terdeteksi;Lainnya;Netral;Netral;Menolak
Keanehan pertama ada ditahap pertama, dimana setelah CAT BKN dengan Passing Grade 110 tiba-tiba diturunkan. Orang-orang dengan nilai Kognitif dibawah 110 akhirnya jadi bisa masuk. Sementara tujuan seleksi tentu mengeliminasi ratusan ribu yang lain yang gagal. Kondisi seleksi tahap lanjutan juga banyak yang benar-benar harus di koreksi. Dalam 1 hari itu ada 2 panitia untuk 2 seleksi berbeda di 1 hari yang sama. Ada Kemenhan dan ada dari Pihak Militer. Betul-betul banyak yang harus dikoreksi. Belum lagi lulusan manager ini juga harus menjalani program Komcad, Sarjana dilatih militer. Dan berbagai hal yg perlu diperbaiki kedepannya.;Keanehan pertama ada ditahap pertama dimana setelah CAT BKN dengan Passing Grade 110 tiba tiba diturunkan Orang orang dengan nilai Kognitif dibawah 110 akhirnya jadi bisa masuk Sementara tujuan seleksi tentu mengeliminasi ratusan ribu yang lain yang gagal Kondisi seleksi tahap lanjutan juga banyak yang benar benar harus di koreksi Dalam 1 hari itu ada 2 panitia untuk 2 seleksi berbeda di 1 hari yang sama Ada Kemenhan dan ada dari Pihak Militer Betul betul banyak yang harus dikoreksi Belum lagi lulusan manager ini juga harus menjalani program Komcad Sarjana dilatih militer Dan berbagai hal yg perlu diperbaiki kedepannya;keanehan pertama ada ditahap pertama dimana setelah cat bukan dengan passing grade 110 tiba tiba diturunkan orang orang dengan nilai kognitif dibawah 110 akhirnya jadi bisa masuk sementara tujuan seleksi tentu mengeliminasi ratusan ribu yang lain yang gagal kondisi seleksi tahap lanjutan juga banyak yang benar benar harus di koreksi dalam 1 hari itu ada 2 panitia untuk 2 seleksi berbeda di 1 hari yang sama ada kemenhan dan ada dari pihak tni betul betul banyak yang harus dikoreksi belum lagi lulusan manager ini juga harus menjalani program komcad sarjana dilatih tni dan berbagai hal yang perlu diperbaiki kedepannya;keanehan pertama ada ditahap pertama dimana setelah cat bukan dengan passing grade 110 tiba tiba diturunkan orang orang dengan nilai kognitif dibawah 110 akhirnya jadi bisa masuk sementara tujuan seleksi tentu mengeliminasi ratusan ribu yang lain yang gagal kondisi seleksi tahap lanjutan juga banyak yang benar benar harus di koreksi dalam hari itu ada panitia untuk seleksi berbeda di hari yang sama ada kemenhan dan ada dari pihak tni betul betul banyak yang harus dikoreksi belum lagi lulusan manager ini juga harus menjalani program komcad sarjana dilatih tni dan berbagai hal yang perlu diperbaiki kedepannya;['keanehan', 'pertama', 'ada', 'ditahap', 'pertama', 'dimana', 'setelah', 'cat', 'bukan', 'dengan', 'passing', 'grade', '110', 'tiba', 'tiba', 'diturunkan', 'orang', 'orang', 'dengan', 'nilai', 'kognitif', 'dibawah', '110', 'akhirnya', 'jadi', 'bisa', 'masuk', 'sementara', 'tujuan', 'seleksi', 'tentu', 'mengeliminasi', 'ratusan', 'ribu', 'yang', 'lain', 'yang', 'gagal', 'kondisi', 'seleksi', 'tahap', 'lanjutan', 'juga', 'banyak', 'yang', 'benar', 'benar', 'harus', 'di', 'koreksi', 'dalam', 'hari', 'itu', 'ada', 'panitia', 'untuk', 'seleksi', 'berbeda', 'di', 'hari', 'yang', 'sama', 'ada', 'kemenhan', 'dan', 'ada', 'dari', 'pihak', 'tni', 'betul', 'betul', 'banyak', 'yang', 'harus', 'dikoreksi', 'belum', 'lagi', 'lulusan', 'manager', 'ini', 'juga', 'harus', 'menjalani', 'program', 'komcad', 'sarjana', 'dilatih', 'tni', 'dan', 'berbagai', 'hal', 'yang', 'perlu', 'diperbaiki', 'kedepannya'];TNI;Militerisasi, Kebijakan;Out_of_Topic;Out_of_Topic;Diskusi
Percayalah 1000 % , uang yg di kelola desa apapun namanya dari jaman dulu sampai skrg ,hilang musnah gak ada pertanggung jawaban...;Percayalah 1000 uang yg di kelola desa apapun namanya dari jaman dulu sampai skrg hilang musnah gak ada pertanggung jawaban;percayalah 1000 uang yang di kelola desa apapun namanya dari zaman dulu sampai sekarang hilang musnah tidak ada pertanggung jawaban;percayalah 1000 uang yang di kelola desa apapun namanya dari zaman dulu sampai sekarang hilang musnah tidak ada pertanggung jawaban;['percayalah', '1000', 'uang', 'yang', 'di', 'kelola', 'desa', 'apapun', 'namanya', 'dari', 'zaman', 'dulu', 'sampai', 'sekarang', 'hilang', 'musnah', 'tidak', 'ada', 'pertanggung', 'jawaban'];Tidak Terdeteksi;Lainnya;Diskusi;Diskusi;Menolak
Dulu ada Koperasi Unit Desa, kenapa ga itu aja yg diaktifkan ?;Dulu ada Koperasi Unit Desa kenapa ga itu aja yg diaktifkan;dulu ada koperasi unit desa kenapa tidak itu saja yang diaktifkan;dulu ada koperasi unit desa kenapa tidak itu saja yang diaktifkan;['dulu', 'ada', 'koperasi', 'unit', 'desa', 'kenapa', 'tidak', 'itu', 'saja', 'yang', 'diaktifkan'];Tidak Terdeteksi;KUD;Diskusi;Diskusi;Diskusi
Lebih baik percaya omon2 hantu dari pada percaya omon2 si Wowo ??????;Lebih baik percaya omon2 hantu dari pada percaya omon2 si Wowo;lebih baik percaya omon2 hantu dari pada percaya omon2 si prabowo;lebih baik percaya omon2 hantu dari pada percaya omon2 si prabowo;['lebih', 'baik', 'percaya', 'omon2', 'hantu', 'dari', 'pada', 'percaya', 'omon2', 'si', 'prabowo'];Prabowo;Lainnya;Mendukung;Mendukung;Menolak
"Proyek dapat cuan dan merekrut keluarga dan kroni kenalan.
Kolusi dan nepotisme di negri ini sangat menjijikan";Proyek dapat cuan dan merekrut keluarga dan kroni kenalan Kolusi dan nepotisme di negri ini sangat menjijikan;proyek dapat keuntungan dan merekrut keluarga dan kroni kenalan kolusi dan nepotisme di negeri ini sangat menjijikan;proyek dapat keuntungan dan merekrut keluarga dan kroni kenalan kolusi dan nepotisme di negeri ini sangat menjijikan;['proyek', 'dapat', 'keuntungan', 'dan', 'merekrut', 'keluarga', 'dan', 'kroni', 'kenalan', 'kolusi', 'dan', 'nepotisme', 'di', 'negeri', 'ini', 'sangat', 'menjijikan'];Tidak Terdeteksi;Lainnya;Diskusi;Diskusi;Menolak
Tar pelesrtannya apa ya klu dulu kud jd ketua umtung duluan kut keur urang tiluan tas istilah apa lagi yg baru;Tar pelesrtannya apa ya klu dulu kud jd ketua umtung duluan kut keur urang tiluan tas istilah apa lagi yg baru;tar pelesrtannya apa ya kalau dulu koperasi unit desa jadi ketua umtung duluan kut keur urang tiluan tas istilah apa lagi yang baru;tar pelesrtannya apa kalau dulu koperasi unit desa jadi ketua umtung duluan kut keur urang tiluan tas istilah apa lagi yang baru;['tar', 'pelesrtannya', 'apa', 'kalau', 'dulu', 'koperasi', 'unit', 'desa', 'jadi', 'ketua', 'umtung', 'duluan', 'kut', 'keur', 'urang', 'tiluan', 'tas', 'istilah', 'apa', 'lagi', 'yang', 'baru'];Tidak Terdeteksi;KUD;Diskusi;Diskusi;Menolak
"selama ini desa2 dapat dana 1M/th? kl iya, kenapa desa2 di pelosok2 itu tidak ada infrastruktur sama sekali : akses2 warga ke fasum & lokasi yg lebih maju = nol.
Kemana uangnya selama ini???


Akankah Kop Merah Putih hanya menjadi jalan lain utk ko***si itu sementara infrastruktur desa akan sama saja?
Tapi ""jalan baru"" ini ada nilai plus : si pemberi kue dapat jasa di mata yg terima kue";selama ini desa2 dapat dana 1M th kl iya kenapa desa2 di pelosok2 itu tidak ada infrastruktur sama sekali akses2 warga ke fasum lokasi yg lebih maju nol Kemana uangnya selama ini Akankah Kop Merah Putih hanya menjadi jalan lain utk ko si itu sementara infrastruktur desa akan sama saja Tapi jalan baru ini ada nilai plus si pemberi kue dapat jasa di mata yg terima kue;selama ini desa2 dapat dana 1m th kalau iya kenapa desa2 di pelosok2 itu tidak ada infrastruktur sama sekali akses2 warga ke fasum lokasi yang lebih maju nol kemana uangnya selama ini akankah kop merah putih hanya menjadi jalan lain untuk ko si itu sementara infrastruktur desa akan sama saja tapi jalan baru ini ada nilai plus si pemberi kue dapat jasa di mata yang terima kue;selama ini desa2 dapat dana 1m th kalau iya kenapa desa2 di pelosok2 itu tidak ada infrastruktur sama sekali akses2 warga ke fasum lokasi yang lebih maju nol kemana uangnya selama ini akankah kop merah putih hanya menjadi jalan lain untuk ko si itu sementara infrastruktur desa akan sama saja tapi jalan baru ini ada nilai plus si pemberi kue dapat jasa di mata yang terima kue;['selama', 'ini', 'desa2', 'dapat', 'dana', '1m', 'th', 'kalau', 'iya', 'kenapa', 'desa2', 'di', 'pelosok2', 'itu', 'tidak', 'ada', 'infrastruktur', 'sama', 'sekali', 'akses2', 'warga', 'ke', 'fasum', 'lokasi', 'yang', 'lebih', 'maju', 'nol', 'kemana', 'uangnya', 'selama', 'ini', 'akankah', 'kop', 'merah', 'putih', 'hanya', 'menjadi', 'jalan', 'lain', 'untuk', 'ko', 'si', 'itu', 'sementara', 'infrastruktur', 'desa', 'akan', 'sama', 'saja', 'tapi', 'jalan', 'baru', 'ini', 'ada', 'nilai', 'plus', 'si', 'pemberi', 'kue', 'dapat', 'jasa', 'di', 'mata', 'yang', 'terima', 'kue'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
rezim gila, KKN mau dilanggenggkan. emang mengarah ke bubar ini negara.;rezim gila KKN mau dilanggenggkan emang mengarah ke bubar ini negara;pemerintah gila kkn mau dilanggenggkan emang mengarah ke bubar ini negara;pemerintah gila kkn mau dilanggenggkan emang mengarah ke bubar ini negara;['pemerintah', 'gila', 'kkn', 'mau', 'dilanggenggkan', 'emang', 'mengarah', 'ke', 'bubar', 'ini', 'negara'];Tidak Terdeteksi;Kebijakan;Netral;Netral;Menolak
"Indonesia gelap......
Indonesia korup......
Maling berdasi di mana mana.. 
Tidak memikirkan rakyat secara nyata.....
Tapi cuma rakyat di jadikan obyek untuk mendapatkan proyek....     
Indonesia gelap.....
Terang bagi yang mengandalkan korupsi......";Indonesia gelap Indonesia korup Maling berdasi di mana mana Tidak memikirkan rakyat secara nyata Tapi cuma rakyat di jadikan obyek untuk mendapatkan proyek Indonesia gelap Terang bagi yang mengandalkan korupsi;indonesia gelap indonesia korup maling berdasi di mana mana tidak memikirkan rakyat secara nyata tapi hanya rakyat di jadikan obyek untuk mendapatkan proyek indonesia gelap terang bagi yang mengandalkan korupsi;indonesia gelap indonesia korup maling berdasi di mana mana tidak memikirkan rakyat secara nyata tapi hanya rakyat di jadikan obyek untuk mendapatkan proyek indonesia gelap terang bagi yang mengandalkan korupsi;['indonesia', 'gelap', 'indonesia', 'korup', 'maling', 'berdasi', 'di', 'mana', 'mana', 'tidak', 'memikirkan', 'rakyat', 'secara', 'nyata', 'tapi', 'hanya', 'rakyat', 'di', 'jadikan', 'obyek', 'untuk', 'mendapatkan', 'proyek', 'indonesia', 'gelap', 'terang', 'bagi', 'yang', 'mengandalkan', 'korupsi'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
Lebih baik tentara drpd orang desa atau lurah yg selama ini korup dan inkompeten.;Lebih baik tentara drpd orang desa atau lurah yg selama ini korup dan inkompeten;lebih baik tni drpd orang desa atau lurah yang selama ini korup dan inkompeten;lebih baik tni drpd orang desa atau lurah yang selama ini korup dan inkompeten;['lebih', 'baik', 'tni', 'drpd', 'orang', 'desa', 'atau', 'lurah', 'yang', 'selama', 'ini', 'korup', 'dan', 'inkompeten'];TNI;Militerisasi;Mendukung;Mendukung;Mendukung
Remek wowo klo bikin program...;Remek wowo klo bikin program;remek prabowo kalau membuat program;remek prabowo kalau membuat program;['remek', 'prabowo', 'kalau', 'membuat', 'program'];Prabowo;Kebijakan;Netral;Netral;Menolak
"Koperasi merah putih program pemerintah akan gagal total seperti  program MBG
Koperasi mendidik orang berhutang dg bunga
Sedang koperasi yg lama pada tutup , banyak yg hutang gk bisa bayarrt ??????";Koperasi merah putih program pemerintah akan gagal total seperti program MBG Koperasi mendidik orang berhutang dg bunga Sedang koperasi yg lama pada tutup banyak yg hutang gk bisa bayarrt;koperasi desa merah putih program pemerintah akan gagal total seperti program mbg koperasi mendidik orang berhutang dengan bunga sedang koperasi yang lama pada tutup banyak yang hutang tidak bisa bayarrt;koperasi desa merah putih program pemerintah akan gagal total seperti program mbg koperasi mendidik orang berhutang dengan bunga sedang koperasi yang lama pada tutup banyak yang hutang tidak bisa bayarrt;['koperasi', 'desa', 'merah', 'putih', 'program', 'pemerintah', 'akan', 'gagal', 'total', 'seperti', 'program', 'mbg', 'koperasi', 'mendidik', 'orang', 'berhutang', 'dengan', 'bunga', 'sedang', 'koperasi', 'yang', 'lama', 'pada', 'tutup', 'banyak', 'yang', 'hutang', 'tidak', 'bisa', 'bayarrt'];KDMP;Kebijakan;Menolak;Menolak;Menolak
Orde baru jilid 2 ini...;Orde baru jilid 2 ini;orde baru jilid 2 ini;orde baru jilid ini;['orde', 'baru', 'jilid', 'ini'];Tidak Terdeteksi;Militerisasi;Menolak;Menolak;Menolak
PEJABAT INDONESIA PASTI KORUPTOR 1000 PERSEN SAMPAI MEREKA SEMUA DI BINASAKAN OLEH  ALLAH SWT TAMPA SISA 1 PUN HIDUP;PEJABAT INDONESIA PASTI KORUPTOR 1000 PERSEN SAMPAI MEREKA SEMUA DI BINASAKAN OLEH ALLAH SWT TAMPA SISA 1 PUN HIDUP;pejabat indonesia pasti koruptor 1000 persen sampai mereka semua di binasakan oleh allah swt tampa sisa 1 pun hidup;pejabat indonesia pasti koruptor 1000 persen sampai mereka semua di binasakan oleh allah swt tampa sisa pun hidup;['pejabat', 'indonesia', 'pasti', 'koruptor', '1000', 'persen', 'sampai', 'mereka', 'semua', 'di', 'binasakan', 'oleh', 'allah', 'swt', 'tampa', 'sisa', 'pun', 'hidup'];Tidak Terdeteksi;Korupsi;Menolak;Menolak;Menolak
